FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d09,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),"MULTILINESTRING ((0.794403298743012 6.591683754833271, 0.7940537349029047 6.591076617637295, 0.7939617444186657 6.590432684247625))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0a,Maritime,Avé,Avé 1,Ando,"MULTILINESTRING ((0.7707582138183351 6.552232851934882, 0.7708571499359615 6.552298809346633, 0.7709042623729265 6.552355344270991, 0.7712010707258061 6.552449569144921))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0b,Savanes,Tône,Tône 1,Toaga,"MULTILINESTRING ((0.2422040275602387 10.889893002923731, 0.2420477806678142 10.889946430553453))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0c,Savanes,Tône,Tône 2,Nanergou,"MULTILINESTRING ((0.1557283576300315 10.905711377525632, 0.1562785257128236 10.905911360501003))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0d,Savanes,Tône,Tône 1,Toaga,"MULTILINESTRING ((0.2399110464151035 10.915271001216292, 0.2398417481622786 10.915330540172432, 0.2397303759702385 10.915380358473506, 0.2396610777174135 10.915487285530531, 0.2394408082709342 10.915580846673862, 0.2393294360788942 10.915596642708143, 0.2392502380756655 10.915582061753453))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0e,Savanes,Tône,Tône 4,Korbongou,"MULTILINESTRING ((0.3472716666666667 10.921511666666667, 0.347135 10.921498333333334, 0.3462978808443434 10.92137399232364, 0.3458350872193712 10.92129427098759, 0.3455390244876973 10.921238122500956, 0.3451530291346747 10.921167059164011, 0.3447525589559138 10.920996507085952, 0.3445161368021875 10.920830692471709, 0.3441687409844672 10.920598551856216, 0.3438937192954386 10.92045168729147, 0.3436042227806715 10.920262184519954, 0.3434884241747648 10.920176908233323, 0.3432954264982535 10.9200916319222, 0.3431941027180851 10.920048993757456, 0.3429914551577482 10.919925816802698))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d0f,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"MULTILINESTRING ((0.1933726987364455 10.744747860481374, 0.193371597403365 10.744844160597497, 0.193373800069526 10.744845242621098, 0.1934090427281024 10.745019448370469))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d10,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"MULTILINESTRING ((0.1977257706488602 10.724397206680917, 0.1978165235326707 10.724119109077428, 0.197848871095217 10.724057309575267))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d11,Kara,Doufelgou,Doufelgou 2,Kpaha,"MULTILINESTRING ((1.1289111442130728 9.886291720395274, 1.128952472691575 9.886123771932384, 1.1289008120934472 9.886029618968685, 1.1288078230168173 9.886032163643735))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d12,Maritime,Lacs,Lacs 4,Fiata,"MULTILINESTRING ((1.6369081845373514 6.312792465152636, 1.6370698070876064 6.313202293204413, 1.6371270749203737 6.313216207114058, 1.6374210497952457 6.313042915667259, 1.637287424852122 6.312567312566416))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d13,Savanes,Tône,Tône 1,Toaga,"MULTILINESTRING ((0.2558486430456404 10.880716100747634, 0.2556611257748702 10.880792812358404, 0.2554395144548692 10.880835429919943, 0.2552264266471758 10.88076724182148, 0.2549621977656362 10.880511536452248, 0.2548428685933279 10.880170595959939, 0.2548258215687124 10.879787037906091, 0.2548940096671742 10.87937790931532, 0.2548940096671742 10.878951733699934, 0.2548599156179434 10.878678981306086, 0.2548854861548665 10.878542605109162, 0.2549536742533283 10.878482940523007))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d14,Maritime,Zio,Zio 1,Abobo,"MULTILINESTRING ((1.302165 6.223411666666667, 1.3034466666666666 6.222245, 1.3029066666666669 6.221768333333333, 1.3014083333333335 6.222611666666667))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d15,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,"MULTILINESTRING ((1.1270986312087254 6.2670405718464535, 1.126881693389879 6.267547963082443, 1.1265966966474732 6.267490881593031, 1.126771097639095 6.26694755006633))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d16,Kara,Kozah,Kozah 2,Pya,"MULTILINESTRING ((1.1586189158451157 9.681968452137255, 1.158695549451203 9.681837784745525, 1.1587825389500048 9.681770409351799, 1.1590476498034965 9.68158053316949, 1.1592402694079864 9.681396781923103))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d17,Kara,Kozah,Kozah 3,Awandjélo,"MULTILINESTRING ((1.2081480584814244 9.47688488123589, 1.2082424260206952 9.476609575203577))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d18,Kara,Kozah,Kozah 4,Atchangbadè,"MULTILINESTRING ((1.133194986767258 9.476627771930378, 1.13325504443566 9.476408242608064))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d19,Kara,Kozah,Kozah 4,Atchangbadè,"MULTILINESTRING ((1.0776581117806643 9.47634792943934, 1.0777636591485749 9.476171189549477, 1.0776900214500325 9.476062240256963))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1a,Kara,Kozah,Kozah 4,Atchangbadè,"MULTILINESTRING ((1.0729484179483 9.4734525079682, 1.073407948753487 9.473103632087037))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1b,Kara,Kozah,Kozah 3,Kpinzindè,"MULTILINESTRING ((1.2511758667995918 9.46404727958821, 1.2518077541167865 9.464332952532189))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1c,Kara,Kozah,Kozah 3,Kpinzindè,"MULTILINESTRING ((1.2587219873227622 9.458094442462931, 1.2591067115088443 9.458355942613666))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d1d,Kara,Kéran,Kéran 3,Warengo,"MULTILINESTRING ((1.1300349999999997 10.045222574546358, 1.1301483018554355 10.045161479431378))"
