FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,geometry
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6447,Savanes,Tône,Tône 1,Dapaong,Sibortoti,Nsp,Retenue d'eau,{elevage},"MULTIPOLYGON (((0.1858059232753439 10.90544237907769, 0.1856893048787811 10.905256869004106, 0.1856908597907353 10.905180527376427, 0.1857437267971771 10.905130141891423, 0.185806700731321 10.905114110144401, 0.1858642324736253 10.905121744309756, 0.1859108798322504 10.9051354858069, 0.1859217642159296 10.905179763960046, 0.1859435329832879 10.905258395836453, 0.1859551948229442 10.905359930170377, 0.18593498096754 10.905382069231067, 0.1858082556432751 10.905448486403241, 0.1858059232753439 10.90544237907769)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6448,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}","MULTIPOLYGON (((0.0600067722513683 10.864023853277692, 0.0599679734008912 10.863905301234567, 0.0599765953676639 10.86378459369975, 0.0600843699523225 10.863767349766206, 0.0601210133111064 10.863644486739695, 0.0601425682280381 10.863614309855993, 0.0602201659289923 10.863642331248002, 0.060241720845924 10.863571200022127, 0.0603106965801055 10.86355395608858, 0.0605103438503211 10.86344977142145, 0.060646342668649 10.863393977034443, 0.0607509571442859 10.863292849707994, 0.0607509571442859 10.86321961957505, 0.0606428555194611 10.86316731233723, 0.0605521896405758 10.863073159309158, 0.0605103438503211 10.862947621938392, 0.060381319330369 10.862979006281083, 0.0602313719152895 10.86293367334164, 0.0599314770851305 10.86290228899895, 0.0597571196257357 10.862856956059506, 0.0596106593598441 10.862972031982705, 0.0594537376463888 10.862989467728646, 0.0593335089814285 10.862969391033952, 0.0592308475504282 10.863067277514672, 0.0591926479481955 10.863246338150137, 0.0591759356222187 10.863370486857393, 0.0592547223018236 10.863611621846488, 0.059304859279754 10.863984067968255, 0.0593502213074053 10.864031817471046, 0.0600067722513683 10.864023853277692)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6449,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}","MULTIPOLYGON (((0.0617883333333333 10.858898333333332, 0.0632158313751271 10.860001551261314, 0.0635398468275437 10.859852268165682, 0.0637574625304199 10.859634652462807, 0.0635854759265338 10.858795779027528, 0.0632309729266871 10.858750149928538, 0.0629607082634376 10.858602732839492, 0.0629782579168954 10.858536044156352, 0.0630870657683334 10.858525514364278, 0.0631326948673236 10.858241209978262, 0.0631046154217912 10.857876177186343, 0.0630519664614179 10.857563793354792, 0.0629993175010446 10.857493594740964, 0.0628694500654572 10.85769366079038, 0.0625570662339091 10.85789723677049, 0.0623640200458738 10.858058693582302, 0.0621709738578384 10.858093792889218, 0.0620446163529425 10.85827981921587, 0.061939318432196 10.858522004433588, 0.0618550800955987 10.858665911591942, 0.0616339544620309 10.858795779027531, 0.0617883333333333 10.858898333333332)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644a,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}","MULTIPOLYGON (((0.0599837008384472 10.860232898700136, 0.0601066224774002 10.859962471094441, 0.0602934633686089 10.85993788676665, 0.0605540572431894 10.859947720497763, 0.0606720620165843 10.859977221691114, 0.0606573114199099 10.860065725271161, 0.0605737247054219 10.860183730044557, 0.06057864157098 10.860341069742416, 0.0606228933610031 10.860562328692533, 0.0606917294788168 10.860709834659277, 0.0606769788821424 10.860877008088254, 0.06049997172205 10.86094092734051, 0.0603229645619576 10.861039264651671, 0.060096788746284 10.861039264651671, 0.0599541996450984 10.860980262264974, 0.0599837008384472 10.860232898700136)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644b,Savanes,Tône,Tône 3,Warkambou,Warkambou Centre,Barrage de Warkambou Centre,Retenue d'eau,{autre},"MULTIPOLYGON (((-0.012405 10.805283333333334, -0.0123183333333333 10.804961666666667, -0.0120266666666667 10.804795000000002, -0.0118666666666667 10.804991666666668, -0.0116566666666667 10.805353333333334, -0.0115866666666667 10.805755, -0.0121833333333333 10.806026666666666, -0.012405 10.805283333333334)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644c,Maritime,Avé,Avé 1,Kévé,Vogankope,Nsp,Retenue d'eau,{elevage},"MULTIPOLYGON (((1.0316057106477983 6.46518407101881, 1.031869194036591 6.4654394931550385, 1.032079980747625 6.465519951101223, 1.0321558125522046 6.465804746585646, 1.0323267554337143 6.465840505648586, 1.032326755433714 6.466010361163015, 1.0321146834378563 6.465986096093019, 1.0316596926103798 6.465467589582146, 1.0315800049513304 6.465390962959084, 1.0315414464066288 6.465327107430994, 1.0315105995708673 6.465321998988399, 1.0316057106477983 6.46518407101881)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644d,Maritime,Avé,Avé 1,Kévé,Vogancope,Barrage de La Ferme de Vogancope,Barrage paysan,{elevage},"MULTIPOLYGON (((1.031935 6.463589999999999, 1.0320692296338645 6.463552145964773, 1.0322317181380165 6.463734661040605, 1.0324577891003146 6.463896116629702, 1.032792185732047 6.464137129949405, 1.0328604780019084 6.464291565608444, 1.032495467594031 6.464527898874143, 1.032236427949731 6.464235407192432, 1.0319420647175717 6.464045872492351, 1.0316714063598083 6.463808929759119, 1.0315630212604068 6.463723212437461, 1.0316470750109632 6.463567162917147, 1.0319080840258479 6.463580350202418, 1.031935 6.463589999999999)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644e,Maritime,Avé,Avé 1,Kévé,Assahoun Apeheme,N/a,Retenue d'eau,{irrigation},"MULTIPOLYGON (((0.9092046016981208 6.432874387615176, 0.9079779316456527 6.433308569768598, 0.9078744038091535 6.433321116481002, 0.907865865766643 6.433634434401683, 0.9079498347513614 6.433746792460886, 0.9081707807672924 6.433866077972596, 0.9083430142757741 6.433949059181616, 0.9084734942064419 6.434128851754667, 0.9090162907180207 6.433931771430855, 0.9092876889738103 6.433779639198789, 0.9095295117786483 6.4336447946822855, 0.9093781550590734 6.4330708406989086, 0.9092046016981208 6.432874387615176)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_644f,Maritime,Avé,Avé 1,Kévé,Commissairecope,N/a,Barrage paysan,"{elevage,irrigation}","MULTIPOLYGON (((1.0263649538043438 6.485613760928787, 1.0266636947196734 6.485759171089039, 1.0268245552125435 6.485526034117601, 1.0268584205794635 6.48537341346449, 1.0267338444082934 6.4852592483787985, 1.0265306522067739 6.485201564957247, 1.026361325372174 6.485616164402849, 1.026361325372174 6.485616164402849, 1.0263649538043438 6.485613760928787)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6450,Maritime,Avé,Avé 1,Kévé,Ahalime,Barrage Ahalime,Retenue d'eau,"{eau potable,elevage}","MULTIPOLYGON (((0.9542723260618652 6.464766627004808, 0.9544032395597245 6.464853347701164, 0.9544654234712079 6.464806735328722, 0.9544948790082262 6.464862019769982, 0.9544119671262487 6.464916220196723, 0.9543737840227062 6.465050637229967, 0.954393421047385 6.465095081563742, 0.9543279642984552 6.465134105853592, 0.9543465103773187 6.465195894306364, 0.9543072363279607 6.465231666565043, 0.9542614166037099 6.4652490106895515, 0.9543061453821452 6.4652988750442, 0.9542723260618649 6.465346571378828, 0.954213414987828 6.465350907409025, 0.9541621405344998 6.465435459990446, 0.9540955928397544 6.465448468078641, 0.9540846833815997 6.465309715120648, 0.9540585006820278 6.465211070416416, 0.9541065022979095 6.4651210977573115, 0.9541261393225885 6.464949824458384, 0.9541937779631493 6.4648240794678085, 0.9542723260618652 6.464766627004808)))"
